Date,LosAngelesMin,NYMin,HoustonMin,ChicagoMin,SeattleMin
2000M01,10,-5.6,7.4,-8.1,1.4
2000M02,10.1,-2.1,9.3,-2.6,2.6
2000M03,10.1,1.6,12.5,0.8,2.9
2000M04,12.5,4.7,12.6,2.7,6.2
2000M05,14.2,11.1,20.4,10.4,8
2000M06,16.6,15.9,21.7,13.8,10.7
2000M07,16.8,18.1,22.2,16.4,12.3
2000M08,18.2,18.5,22,16.7,11.7
2000M09,16.7,14.7,19.1,12,10.6
2000M10,13.8,8.3,15.2,7.6,7.3
2000M11,8.7,3.1,9.3,-1.5,1.9
2000M12,9.2,-4.5,2.6,-12.9,1.6
2001M01,7.4,-3.9,4,-7.9,1.7
2001M02,7.9,-3.2,8.5,-7.2,0.5
2001M03,10.9,-0.4,7.3,-4.7,3.2
2001M04,10.1,5.6,16.2,4.6,4.7
2001M05,14.3,11.3,17.6,9.5,7.1
2001M06,16,17.3,21.1,14.1,9.6
2001M07,16.5,17.6,22.7,17.4,11.1
2001M08,16.9,20.3,22.7,17.7,12.7
2001M09,16.5,14.7,19.5,11.2,10.6
2001M10,15,8.8,12.7,6.1,7
2001M11,11.5,4.9,10.7,3.4,4.9
2001M12,8,2.1,7.2,-3.4,1.6
2002M01,7.6,-0.8,6.2,-4.7,2.3
2002M02,8.4,-1.2,3,-5.3,1.4
2002M03,9.6,1,10.1,-4.2,1.6
2002M04,11.2,6.3,17.8,4.7,4.8
2002M05,12.6,9.2,19.5,5.8,5.6
2002M06,15.4,16.4,22.3,14.9,10.8
2002M07,17.1,20.1,24.1,19.7,12.6
2002M08,16.6,20.1,23.4,17.4,12.2
2002M09,15.9,16.4,21.5,12.6,10.2
2002M10,13.9,8.9,17.7,5.6,6.7
2002M11,11.8,2.4,9,-0.9,4.3
2002M12,8.6,-2.5,7,-5.5,2.8
2003M01,10.7,-5.9,4.9,-10.6,4
2003M02,10.1,-5.4,7.8,-9.8,1.5
2003M03,10.5,-0.4,10.4,-3.4,4.6
2003M04,10.1,3.9,15.2,3.4,5.3
2003M05,12.4,9.6,21.3,7.4,7.4
2003M06,15.6,15.4,22.6,11.6,11.3
2003M07,18.3,19.7,23.7,15.7,13.4
2003M08,17.8,20.7,24.1,17.6,12.8
2003M09,16.8,16.1,20.2,11.3,11.3
2003M10,15.6,8.5,15.4,4,9
2003M11,10.1,5.5,12.7,0.9,2.2
2003M12,8.5,-1.3,5.4,-4.8,2.4
2004M01,8.6,-7.4,8,-10.6,1.1
2004M02,8.4,-3.3,6.7,-7.1,2.9
2004M03,11.7,1.1,13.9,0.4,4.3
2004M04,12.2,5.6,14.6,3.6,6
2004M05,15,12.2,19.5,8.7,9.1
2004M06,16.3,15.9,22.6,13.8,11.6
2004M07,17.4,19.3,23.8,16.1,14
2004M08,17.7,19,22.4,14.4,14.1
2004M09,18.1,16,21.3,12.3,11
2004M10,14.2,9.6,19.8,6.3,8
2004M11,9.6,4.1,12.1,2.5,3.7
2004M12,8.3,-0.9,5.5,-6.2,2.9
2005M01,9.6,-4.4,8.5,-7.8,1.9
2005M02,10.5,-2.8,10,-3.8,0.2
2005M03,11,-1.3,9.7,-3.8,5
2005M04,11,5.8,13.3,3.8,6
2005M05,13.6,9.6,17.3,7.6,9.9
2005M06,14.6,16.7,22.4,16.5,10.9
2005M07,16.6,20,23.5,17.5,12.7
2005M08,17.4,21,23.5,17.6,13.2
2005M09,15.5,16.8,22.8,14.5,9.9
2005M10,14,10.4,14.6,7.4,8.8
2005M11,12.8,7,11.3,7.7,6.3
2005M12,10,-1.6,5.8,-7.8,3.1
2006M01,9,-0.4,9.5,-1.5,5.7
2006M02,9.5,-2.7,6.9,-6.9,2.2
2006M03,9,0.6,13.3,-1,3.3
2006M04,11.6,6,16.7,5.9,5.6
2006M05,14.9,11.3,18.1,9.2,8.5
2006M06,17,16.6,21.4,14,12.3
2006M07,19.6,20.4,23.7,18.9,13.6
2006M08,18.4,19.8,24,18.1,12.5
2006M09,17.1,15,20.2,11.7,10.9
2006M10,14.4,9,15.9,4.3,7.6
2006M11,12.5,6.3,9.4,1.4,4
2006M12,8,2,7.6,-3,1.6
2007M01,7,-0.9,5.7,-6.1,0.2
2007M02,9.9,-5.7,6.3,-11.6,3.4
2007M03,11.4,-0.7,13,1,4.3
2007M04,11.8,4.9,12.8,2.7,5.4
2007M05,13.2,11,19.6,10.9,8
2007M06,15.2,16.5,22.8,16.2,10.4
2007M07,18.1,19,23.3,17.1,14.2
2007M08,18.7,18.7,24.3,19,13.2
2007M09,16.9,15.7,21.8,13.4,11.1
2007M10,14.5,12.9,16,9.7,6.5
2007M11,12.7,3.5,11.6,-0.5,3.4
2007M12,8.6,-0.9,7.9,-6.6,1.8
2008M01,8.9,-2.9,5.3,-9.5,0.7
2008M02,9.2,-2.5,8.3,-9.4,2.9
2008M03,11.1,0.3,10.2,-3.2,2.2
2008M04,12.4,6.2,14.5,3.7,3.5
2008M05,14.2,9.5,19.6,6.9,8.6
2008M06,16.9,17.6,22.9,15.8,9.6
2008M07,18.2,20.5,23,17.9,12.3
2008M08,18.1,18,23.9,17.1,13.5
2008M09,17.4,16.5,19.9,13.2,11
2008M10,14.8,8.8,13.8,6.4,6.7
2008M11,13.1,3.8,10.2,-0.3,6.3
2008M12,8.5,-1.1,7.1,-10,0.3
2009M01,10,-6,5.6,-13.8,1
2009M02,8.9,-3,10,-7.1,1.2
2009M03,10.2,0.1,10.4,-1.8,1.6
2009M04,11.1,6.3,13.7,2.5,4.4
2009M05,14.6,11.6,20,9,7.6
2009M06,15.8,15.6,23.1,14,12
2009M07,16.9,18.4,25.1,15,14.1
2009M08,16.9,20.3,24.1,16.2,13.4
2009M09,17.6,15.2,21.3,13.2,11.6
2009M10,14.1,8.8,16.1,5.3,7.2
2009M11,11.3,6.9,9.7,2.8,4.8
2009M12,9.1,-1.7,5,-6.1,-0.4
2010M01,9.6,-3.9,3.8,-9.3,5.4
2010M02,10.3,-2.9,3.6,-6.3,4.4
2010M03,10.6,3.4,8.2,-0.2,3.9
2010M04,10.9,7.7,14,5.5,5.5
2010M05,12.4,11.8,20.2,10.6,7.2
2010M06,15.5,18.1,24,16.5,10.2
2010M07,16,21.9,24.3,19.5,12
2010M08,15.5,19.6,24.9,19.2,12.7
2010M09,15.4,16.7,22.2,13.4,12.2
2010M10,15.5,10.3,14.6,7.1,8.1
2010M11,10.9,4.1,10.7,-0.7,3.2
2010M12,10.5,-2.9,6.6,-8.9,3.3
2011M01,9.5,-5.5,4.5,-10.4,2.5
2011M02,8.3,-3.4,6.1,-7.3,0.5
2011M03,10.4,0.5,12.9,-2.2,3.5
2011M04,12.7,6.6,17.8,2.9,3.5
2011M05,13.1,12.6,19.4,8.7,6.8
2011M06,14.7,17.5,23.5,15.5,10.3
2011M07,17.2,21.1,24.7,20.1,12
2011M08,16.7,19.7,25.4,17.3,13.2
2011M09,16.4,17,20.8,12.1,12.1
2011M10,14.3,10.2,14.3,6.6,7.8
2011M11,9.9,5.1,11.2,3,2.2
2011M12,6.9,1.1,7.1,-2.9,0.5
2012M01,9,-2,8.4,-5.8,1
2012M02,9.1,-0.3,10.6,-4,2.9
2012M03,9.9,4.2,14.9,6.4,2.5
2012M04,11.4,6.8,17.2,4.6,5.8
2012M05,14.4,13.8,20.1,11.8,7.7
2012M06,15.8,16.3,22.7,16.1,10.1
2012M07,16.4,20.9,23.5,20.9,12.8
2012M08,19,20.4,24.6,16.2,13.8
2012M09,18.7,16.4,20.9,11.3,11.1
2012M10,16.1,11.3,14.6,5.6,8.1
